PRODUCT_ID,RAW_PR_CATEGORY,CUSTOM_RATING,COLOR_VARIANT,COLOR_VARIANT_HEXCODE,STOCK_STATUS,MANFACTURING_DATE,CARRIER_SIZE,LIMITED_STOCK,ACTIVE_FOR_SALE,PRODUCT_BIZ_STATUS,AUTOMATIC_PROLONGATION,AUTOMATIC_PROLONGATION_PERIOD,UPSELL_AVAILABILITY,SELLER_ID,SKU_ITEM,ASSORTMENT_PRIORITY,NEGAT_IND,PROMO_THEME
269675043,Games,2,Violet,#ce85ae,OOS,04-04-2017,Heavy Fr,FALSE,TRUE,Self Type,TRUE,25,TRUE,178357160,8463413382,TRUE,Yes,Website
407082376,Jewelery,2,Orange,#e5cf2e,SOS,21-04-2022,Heavy Fr,TRUE,FALSE,Trust Type,TRUE,29,TRUE,55018388,5203330956,TRUE,Yes,Unique
622299906,Computers,1,Yellow,#9a2e28,OOS,31-12-2017,Low Fr,TRUE,TRUE,Trust Type,FALSE,22,TRUE,243690213,7087929305,TRUE,No,E-mail
209879680,Music,5,Aquamarine,#837443,Available,21-10-2020,Heavy Fr,TRUE,FALSE,Trust Type,FALSE,10,FALSE,769133061,7974930934,FALSE,Yes,E-mail
125511186,Industrial,5,Crimson,#d949f1,Available,10-02-2019,Low Fr,FALSE,FALSE,Trust Type,FALSE,2,FALSE,770860459,7060870938,FALSE,No,Website
130546845,Beauty,2,Puce,#597a99,Available,06-05-2020,Heavy Fr,FALSE,TRUE,Self Type,FALSE,22,FALSE,49042820,6573209427,FALSE,Yes,TeleM
622696804,Grocery,3,Orange,#d55537,Available,23-02-2022,Low Fr,TRUE,FALSE,Self Type,TRUE,22,FALSE,661758684,9113453548,TRUE,No,E-mail
329324334,Clothing,4,Aquamarine,#43212f,SOS,20-04-2017,Medium Fr,FALSE,TRUE,Comm Type,TRUE,29,FALSE,270953883,2105078303,FALSE,No,E-mail
419081532,Movies,4,Fuscia,#ea3bb8,Available,07-09-2018,Low Fr,TRUE,FALSE,Trust Type,FALSE,10,FALSE,829525573,2666292118,FALSE,Yes,Referral
935626163,Electronics,5,Khaki,#56a226,OOS,28-06-2019,Low Fr,TRUE,FALSE,Comm Type,FALSE,38,FALSE,217619950,1281290009,TRUE,Yes,TeleM
410843121,Sports,1,Fuscia,#b6b968,Available,06-10-2021,Medium Fr,FALSE,TRUE,Trust Type,TRUE,25,TRUE,798013579,8063640187,TRUE,Yes,TeleM
575675930,Movies,5,Pink,#04b762,OOS,25-06-2019,Heavy Fr,FALSE,FALSE,Self Type,FALSE,33,FALSE,269104459,6002779922,FALSE,No,Referral
324162423,Industrial,4,Teal,#56b5be,Available,08-05-2018,Heavy Fr,FALSE,TRUE,Self Type,FALSE,28,TRUE,965362959,4542308944,FALSE,No,E-mail
404368988,Grocery,4,Maroon,#3d6528,SOS,13-07-2019,Low Fr,TRUE,TRUE,Self Type,TRUE,6,FALSE,943681804,3627993039,TRUE,No,Unique
368360759,Shoes,3,Purple,#e6c658,OOS,05-05-2019,Heavy Fr,TRUE,FALSE,Trust Type,FALSE,35,FALSE,18728877,4700044519,TRUE,Yes,Unique
431321275,Health,1,Blue,#06dfb4,OOS,19-06-2019,Heavy Fr,TRUE,FALSE,Comm Type,FALSE,22,TRUE,615646473,3762522006,TRUE,No,Unique
482597761,Music,4,Crimson,#bafaaf,SOS,16-06-2017,Heavy Fr,TRUE,TRUE,Comm Type,FALSE,33,FALSE,209984821,334174058,FALSE,No,TeleM
655040592,Outdoors,3,Maroon,#ec9bb6,SOS,30-12-2020,Heavy Fr,FALSE,FALSE,Comm Type,FALSE,2,FALSE,696260905,1939344190,TRUE,Yes,Website
484658330,Beauty,4,Puce,#bed287,SOS,11-09-2021,Heavy Fr,TRUE,FALSE,Comm Type,TRUE,34,TRUE,517712171,2245618904,FALSE,No,Referral
929393158,Games,3,Pink,#153442,OOS,31-03-2022,Heavy Fr,FALSE,TRUE,Sale Type,FALSE,8,TRUE,22576238,7434808977,TRUE,No,Website
466823467,Music,1,Yellow,#460f2c,OOS,16-02-2019,Heavy Fr,TRUE,FALSE,Trust Type,FALSE,8,FALSE,143320019,6950704607,FALSE,No,Referral
540314018,Outdoors,3,Purple,#e5aa2d,Available,14-09-2020,Low Fr,FALSE,TRUE,Sale Type,TRUE,22,FALSE,940018256,2811972285,FALSE,Yes,Website
412172838,Shoes,1,Green,#929951,Available,09-07-2021,Medium Fr,TRUE,FALSE,Trust Type,FALSE,22,TRUE,975892959,130388092,TRUE,No,Website
237907628,Sports,1,Maroon,#4afb90,Available,23-03-2017,Heavy Fr,TRUE,TRUE,Comm Type,TRUE,23,TRUE,284691115,3430951704,TRUE,No,Unique
760791628,Outdoors,2,Red,#f94f06,Available,09-02-2019,Low Fr,FALSE,FALSE,Self Type,TRUE,41,FALSE,4117164,5880123766,FALSE,No,E-mail
26872531,Sports,3,Turquoise,#b5a5a3,Available,22-12-2018,Medium Fr,TRUE,FALSE,Sale Type,TRUE,26,TRUE,247529515,113958285,TRUE,No,Website
730400041,Tools,3,Violet,#81d84d,OOS,21-02-2020,Low Fr,TRUE,TRUE,Sale Type,FALSE,37,TRUE,214017701,9138808463,FALSE,No,Referral
4512687,Shoes,5,Yellow,#b36243,OOS,07-07-2017,Heavy Fr,TRUE,TRUE,Sale Type,FALSE,35,TRUE,210580913,8855625616,TRUE,No,E-mail
852949652,Kids,4,Indigo,#ce25c2,SOS,03-09-2017,Medium Fr,TRUE,TRUE,Sale Type,FALSE,13,TRUE,860776585,9509059420,TRUE,No,E-mail
781907755,Grocery,1,Orange,#7098eb,Available,25-04-2020,Low Fr,FALSE,TRUE,Trust Type,FALSE,13,FALSE,548489955,5848613818,TRUE,No,Website
616929548,Music,5,Maroon,#6ca990,Available,13-07-2022,Heavy Fr,TRUE,TRUE,Self Type,FALSE,35,TRUE,483712752,6441292696,FALSE,No,Unique
189321293,Grocery,5,Red,#9a605f,OOS,16-10-2021,Heavy Fr,TRUE,TRUE,Self Type,TRUE,22,FALSE,610699157,432304118,FALSE,No,Referral
485836061,Beauty,4,Fuscia,#cbdcd7,Available,07-05-2020,Heavy Fr,FALSE,FALSE,Comm Type,FALSE,22,TRUE,404875813,8874886470,FALSE,Yes,TeleM
610167160,Home,1,Violet,#774561,SOS,12-02-2022,Medium Fr,FALSE,TRUE,Comm Type,TRUE,22,TRUE,964744331,2139040597,TRUE,No,E-mail
676648074,Automotive,3,Crimson,#fe6d30,SOS,07-06-2020,Medium Fr,TRUE,TRUE,Sale Type,FALSE,23,TRUE,43361163,9403042478,FALSE,Yes,Referral
378051991,Clothing,2,Khaki,#7ee18d,SOS,20-01-2019,Medium Fr,FALSE,FALSE,Sale Type,TRUE,29,TRUE,304628444,2967345687,FALSE,No,Website
49359048,Electronics,5,Puce,#26ccf6,Available,11-03-2021,Medium Fr,TRUE,FALSE,Self Type,FALSE,2,FALSE,963397352,4027253310,FALSE,No,Website
494525117,Garden,5,Orange,#0545b2,Available,16-04-2018,Heavy Fr,TRUE,TRUE,Self Type,TRUE,23,TRUE,382864509,5782958987,TRUE,No,Unique
192059264,Beauty,3,Teal,#3ff667,Available,20-07-2021,Heavy Fr,TRUE,FALSE,Self Type,FALSE,21,TRUE,947457576,4106377268,TRUE,Yes,Website
925124701,Industrial,2,Puce,#a5d5c1,SOS,11-01-2018,Heavy Fr,TRUE,TRUE,Comm Type,TRUE,38,TRUE,945907348,8397667636,TRUE,No,Referral
427530784,Movies,1,Crimson,#a03da5,SOS,28-09-2018,Heavy Fr,TRUE,FALSE,Sale Type,TRUE,23,FALSE,463053123,3720884929,TRUE,Yes,Unique
766163718,Jewelery,4,Turquoise,#16adda,OOS,02-06-2018,Heavy Fr,TRUE,FALSE,Sale Type,TRUE,10,TRUE,889079656,4412930173,FALSE,No,Referral
472919099,Health,4,Violet,#b75481,OOS,12-09-2017,Low Fr,FALSE,FALSE,Self Type,FALSE,36,TRUE,359297790,2747839281,FALSE,No,Referral
448095680,Kids,2,Maroon,#33c1fd,Available,25-06-2017,Heavy Fr,TRUE,FALSE,Comm Type,FALSE,21,TRUE,491624608,4798744727,TRUE,Yes,E-mail
25494995,Home,1,Mauv,#c55053,Available,28-03-2017,Low Fr,TRUE,FALSE,Trust Type,FALSE,31,FALSE,801866375,474596184,FALSE,No,E-mail
580571428,Toys,4,Maroon,#2d033f,OOS,13-05-2022,Medium Fr,TRUE,TRUE,Comm Type,FALSE,31,FALSE,864991594,2163669181,FALSE,Yes,E-mail
800937725,Industrial,3,Yellow,#a84af0,SOS,02-12-2021,Heavy Fr,TRUE,TRUE,Trust Type,FALSE,29,TRUE,391801846,8975828611,FALSE,No,TeleM
769591199,Garden,1,Blue,#87c426,Available,29-12-2019,Heavy Fr,TRUE,TRUE,Trust Type,FALSE,2,TRUE,804960825,3755654989,FALSE,No,Website
955322141,Garden,5,Teal,#0bc34e,Available,02-04-2017,Heavy Fr,TRUE,TRUE,Trust Type,TRUE,21,TRUE,730501947,5669677137,FALSE,No,Website
190869916,Music,1,Puce,#592cc2,SOS,11-08-2018,Heavy Fr,TRUE,TRUE,Trust Type,FALSE,15,FALSE,430105742,9173016756,TRUE,Yes,Unique
220636014,Movies,3,Goldenrod,#0323d7,SOS,20-04-2017,Medium Fr,TRUE,TRUE,Trust Type,TRUE,26,FALSE,167426925,4786116289,TRUE,Yes,E-mail
193752417,Electronics,1,Violet,#f42442,OOS,20-05-2021,Low Fr,TRUE,TRUE,Comm Type,TRUE,31,FALSE,385019907,6769778521,FALSE,No,E-mail
776638525,Baby,4,Blue,#839dbf,SOS,02-10-2019,Low Fr,TRUE,FALSE,Comm Type,FALSE,26,FALSE,798579270,4327563625,FALSE,No,Referral
635131751,Jewelery,5,Green,#c02d67,SOS,30-08-2021,Medium Fr,FALSE,TRUE,Trust Type,FALSE,23,FALSE,462303131,1124070338,FALSE,Yes,TeleM
744468089,Computers,4,Violet,#d27acb,OOS,03-03-2022,Low Fr,TRUE,TRUE,Sale Type,TRUE,23,TRUE,181012194,488768217,FALSE,No,TeleM
229067267,Grocery,1,Violet,#08267f,Available,15-05-2022,Medium Fr,TRUE,FALSE,Self Type,TRUE,6,FALSE,18746382,2231055147,TRUE,Yes,Unique
625363824,Health,3,Orange,#37bcac,OOS,01-06-2021,Low Fr,FALSE,FALSE,Self Type,TRUE,31,TRUE,952469838,544649826,TRUE,No,Unique
35750178,Kids,4,Red,#8fed9a,OOS,22-09-2021,Heavy Fr,FALSE,FALSE,Sale Type,FALSE,2,TRUE,876207353,9685562997,FALSE,Yes,Referral
206953489,Industrial,2,Indigo,#f3dd7f,Available,02-08-2019,Medium Fr,FALSE,FALSE,Sale Type,TRUE,15,FALSE,157348567,8993712255,FALSE,Yes,TeleM
659474019,Automotive,4,Red,#73c84c,Available,13-07-2021,Low Fr,FALSE,TRUE,Sale Type,FALSE,14,FALSE,545225191,1422477908,FALSE,No,E-mail
206673894,Toys,2,Red,#ce2ac4,OOS,19-03-2021,Medium Fr,TRUE,TRUE,Trust Type,TRUE,6,FALSE,622672289,1475864426,TRUE,Yes,Referral
3444265,Music,5,Indigo,#97e9e7,SOS,21-01-2020,Medium Fr,TRUE,TRUE,Comm Type,FALSE,10,FALSE,421017061,8645818205,FALSE,No,Referral
172774957,Toys,1,Turquoise,#3a799f,Available,14-06-2017,Heavy Fr,TRUE,TRUE,Comm Type,TRUE,22,FALSE,397715909,5774336476,FALSE,No,Unique
510651301,Home,1,Puce,#68c9cd,SOS,25-10-2019,Low Fr,TRUE,FALSE,Comm Type,TRUE,13,FALSE,196996498,3253613550,TRUE,No,Website
412524637,Automotive,4,Violet,#f444c5,Available,04-01-2018,Low Fr,FALSE,TRUE,Self Type,TRUE,33,TRUE,626540410,2711471764,FALSE,Yes,TeleM
831717151,Electronics,2,Khaki,#1c90dc,SOS,10-09-2018,Medium Fr,TRUE,TRUE,Self Type,FALSE,22,TRUE,732639307,1223742989,TRUE,Yes,E-mail
283987697,Clothing,4,Maroon,#084734,Available,13-07-2021,Low Fr,TRUE,FALSE,Self Type,TRUE,8,FALSE,977339605,3028894599,TRUE,No,E-mail
698938350,Shoes,5,Red,#948a18,OOS,06-07-2018,Heavy Fr,FALSE,TRUE,Self Type,TRUE,28,TRUE,530139683,5435162130,FALSE,Yes,Unique
147820500,Sports,5,Green,#eddc6c,OOS,26-01-2019,Medium Fr,FALSE,FALSE,Self Type,FALSE,21,TRUE,546662708,1979008825,FALSE,No,TeleM
185734682,Tools,4,Violet,#fb8ba9,Available,24-03-2017,Low Fr,TRUE,FALSE,Self Type,FALSE,36,TRUE,69166761,2790509786,TRUE,No,Referral
276182674,Toys,2,Aquamarine,#92ea22,Available,06-01-2020,Medium Fr,TRUE,TRUE,Self Type,TRUE,15,FALSE,197315721,8350130822,FALSE,No,TeleM
938392803,Jewelery,1,Fuscia,#076184,SOS,23-11-2020,Low Fr,FALSE,TRUE,Sale Type,TRUE,26,FALSE,297132956,367002779,FALSE,No,Website
400055133,Movies,3,Maroon,#b94a7d,OOS,18-05-2018,Low Fr,FALSE,FALSE,Self Type,FALSE,23,FALSE,788565224,8838729360,TRUE,Yes,Unique
20326339,Home,2,Blue,#bd4105,SOS,15-11-2019,Heavy Fr,TRUE,FALSE,Trust Type,TRUE,34,TRUE,148320642,8227156924,FALSE,Yes,Unique
518184355,Outdoors,5,Violet,#dad99c,SOS,13-07-2022,Heavy Fr,TRUE,TRUE,Self Type,FALSE,28,FALSE,782426334,4635559270,FALSE,Yes,TeleM
635842002,Movies,4,Khaki,#1afc66,Available,24-02-2022,Low Fr,TRUE,FALSE,Comm Type,FALSE,36,FALSE,610484246,8476832583,FALSE,Yes,Unique
978242304,Electronics,1,Puce,#e4e95b,OOS,03-06-2018,Heavy Fr,TRUE,TRUE,Sale Type,TRUE,33,TRUE,921325030,3743110067,FALSE,No,Website
213343159,Games,3,Pink,#04cd3d,SOS,24-07-2017,Heavy Fr,TRUE,FALSE,Comm Type,TRUE,8,FALSE,266712610,937155179,TRUE,No,Unique
463114110,Industrial,2,Fuscia,#998cc7,SOS,16-04-2019,Medium Fr,FALSE,FALSE,Trust Type,FALSE,2,TRUE,773091974,5104107663,TRUE,No,Website
977872467,Computers,5,Orange,#b616ca,SOS,19-01-2018,Low Fr,TRUE,TRUE,Comm Type,FALSE,26,TRUE,910552922,7075712632,FALSE,No,E-mail
17412371,Electronics,4,Crimson,#227782,OOS,29-07-2018,Medium Fr,FALSE,TRUE,Sale Type,FALSE,2,TRUE,881289780,7502480528,FALSE,Yes,TeleM
15959358,Games,2,Purple,#4d5cfd,Available,11-12-2017,Medium Fr,TRUE,FALSE,Self Type,TRUE,31,TRUE,161408317,1691168203,TRUE,Yes,Referral
297302848,Home,4,Blue,#9d7a39,OOS,01-05-2022,Low Fr,FALSE,TRUE,Sale Type,TRUE,32,TRUE,405863006,1984555456,FALSE,No,Unique
